HG01949 HG02071.verkko_filt_pat.fa:haplotype2_0000736_102745972_103248026_0$HG02293.verkko_filt_pat.fa:haplotype2_0000836_148310532_148812524_1	0.9885471755074127 1KGrel
HG01949 HG04228.verkko_filt_mat.fa:haplotype1_0000023_103429213_103930285_0$HG02293.verkko_filt_pat.fa:haplotype2_0000836_148310532_148812524_1	0.9883489828908920 1KGrel
HG01949 chr1_chm13_103304997_103901127_0$HG02004.verkko_filt_mat.fa:haplotype1_0000022_97828542_98235483_0	0.9880652755026827 1KGrel
HG01949 chr1_hg38_103456064_103863972_0$chr1_chm13_103304997_103901127_0	0.9879885877608480 1KGrel
HG01949 chr1_hg19_103998686_104406594_0$chr1_chm13_103304997_103901127_0	0.9879885877608480 1KGrel
HG01949 HG04228.verkko_filt_mat.fa:haplotype1_0000023_103429213_103930285_0$HG02071.verkko_filt_pat.fa:haplotype2_0000736_102745972_103248026_0	0.9879528846058337 1KGrel
HG01949 chr1_chm13_103304997_103901127_0$HG002.verkko_filt_mat.fa:haplotype1_0000005_138228497_138636354_1	0.9876804184066635 1KGrel
HG01949 chr1_chm13_103304997_103901127_0$HG02071.verkko_filt_mat.fa:haplotype1_0000041_103610513_104018399_0	0.9874463632152748 1KGrel
HG01949 chr1_chm13_103304997_103901127_0$HG02300.verkko_filt_pat.fa:haplotype2_0000620_143362344_143769323_1	0.9872867790659969 1KGrel
HG01949 chr1_chm13_103304997_103901127_0$HG02300.verkko_filt_mat.fa:haplotype1_0000028_144052837_144460586_1	0.9872849194425186 1KGrel
HG01949 chr1_chm13_103304997_103901127_0$HG01099.verkko_filt_mat.fa:haplotype1_0000034_142513097_142920876_1	0.9871658677056960 1KGrel
HG01949 HG02293.verkko_filt_pat.fa:haplotype2_0000836_148310532_148812524_1$HG03927.verkko_filt_pat.fa:haplotype2_0000800_29002142_29504057_1	0.9870976450515724 1KGrel
HG01949 chr1_chm13_103304997_103901127_0$HG03927.verkko_filt_mat.fa:haplotype1_0000009_134765170_135173010_1	0.9870623277966128 1KGrel
HG01949 HG02004.verkko_filt_mat.fa:haplotype1_0000022_97828542_98235483_0$HG02293.verkko_filt_pat.fa:haplotype2_0000836_148310532_148812524_1	0.9870071847301697 1KGrel
HG01949 chr1_hg38_103456064_103863972_0$HG02293.verkko_filt_pat.fa:haplotype2_0000836_148310532_148812524_1	0.9868738656545325 1KGrel
HG01949 chr1_hg19_103998686_104406594_0$HG02293.verkko_filt_pat.fa:haplotype2_0000836_148310532_148812524_1	0.9868738656545325 1KGrel
HG01949 HG02071.verkko_filt_pat.fa:haplotype2_0000736_102745972_103248026_0$HG03927.verkko_filt_pat.fa:haplotype2_0000800_29002142_29504057_1	0.9868586369701152 1KGrel
HG01949 HG02293.verkko_filt_pat.fa:haplotype2_0000836_148310532_148812524_1$HG01099.verkko_filt_pat.fa:haplotype2_0000583_143544270_144046196_1	0.9868403258379376 1KGrel
HG01949 chr1_chm13_103304997_103901127_0$HG02809.verkko_filt_pat.fa:haplotype2_0001251_103421111_103827972_0	0.9867859308855487 1KGrel
HG01949 HG002.verkko_filt_mat.fa:haplotype1_0000005_138228497_138636354_1$HG02293.verkko_filt_pat.fa:haplotype2_0000836_148310532_148812524_1	0.9866503471124379 1KGrel
HG01949 HG04228.verkko_filt_mat.fa:haplotype1_0000023_103429213_103930285_0$HG03927.verkko_filt_pat.fa:haplotype2_0000800_29002142_29504057_1	0.9866489011093100 1KGrel
HG01949 HG02071.verkko_filt_mat.fa:haplotype1_0000041_103610513_104018399_0$HG02293.verkko_filt_pat.fa:haplotype2_0000836_148310532_148812524_1	0.9865847452247152 1KGrel
