"qname"	"qlen"	"qstart"	"qend"	"strand"	"tname"	"tlen"	"tstart"	"tend"	"nmatch"	"alen"	"mapq"	"tp"	"cm"	"s1"	"s2"	"dv"	"rl"	"contig"	"name2"	"name"	"sample_id"	"hap_struc"	"hap_struc_d"	"hap_block_start"	"chrom"	"start"	"end"
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG00673#haplotype1#0000019:16627360-17129375"	502015	199633	208426	1769	8793	0	"P"	557	1686	1686	1e-04	0	"AV_HG00673#haplotype1#0000019:16627360-17129375"	"AMY1A-201"	"1"	"AV_HG00673"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG00673#haplotype1#0000019:16627360-17129375"	199633	208426
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG00673#haplotype1#0000019:16627360-17129375"	502015	293787	302579	1769	8792	0	"S"	557	1686	NA	1e-04	0	"AV_HG00673#haplotype1#0000019:16627360-17129375"	"AMY1A-201"	"1"	"AV_HG00673"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG00673#haplotype1#0000019:16627360-17129375"	293787	302579
"ENST00000370083.9"	1785	2	1784	"-"	"AV_HG00673#haplotype1#0000019:16627360-17129375"	502015	325444	334235	1769	8791	0	"S"	557	1686	NA	1e-04	0	"AV_HG00673#haplotype1#0000019:16627360-17129375"	"AMY1A-201"	"1"	"AV_HG00673"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG00673#haplotype1#0000019:16627360-17129375"	325444	334235
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG00673#haplotype1#0000019:16627360-17129375"	502015	387926	396718	1769	8792	0	"S"	557	1686	NA	1e-04	0	"AV_HG00673#haplotype1#0000019:16627360-17129375"	"AMY1A-201"	"1"	"AV_HG00673"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG00673#haplotype1#0000019:16627360-17129375"	387926	396718
"ENST00000370083.9"	1785	2	1784	"-"	"AV_HG00673#haplotype1#0000019:16627360-17129375"	502015	231290	240083	1769	8793	0	"S"	557	1686	NA	1e-04	0	"AV_HG00673#haplotype1#0000019:16627360-17129375"	"AMY1A-201"	"1"	"AV_HG00673"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG00673#haplotype1#0000019:16627360-17129375"	231290	240083
"ENST00000414303.7"	1584	4	1583	"+"	"AV_HG00673#haplotype1#0000019:16627360-17129375"	502015	161379	169649	1574	8270	16	"P"	491	1499	1417	1e-04	0	"AV_HG00673#haplotype1#0000019:16627360-17129375"	"AMY2A-201"	"2A"	"AV_HG00673"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG00673#haplotype1#0000019:16627360-17129375"	161379	169649
"ENST00000610648.1"	1736	4	1733	"+"	"AV_HG00673#haplotype1#0000019:16627360-17129375"	502015	115052	123476	1720	8424	48	"P"	531	1638	1371	1e-04	0	"AV_HG00673#haplotype1#0000019:16627360-17129375"	"AMY2B-208"	"2B"	"AV_HG00673"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG00673#haplotype1#0000019:16627360-17129375"	115052	123476
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG00673#haplotype2#0001165:24014011-24421797"	407786	199649	208440	1769	8791	0	"P"	557	1686	1686	1e-04	0	"AV_HG00673#haplotype2#0001165:24014011-24421797"	"AMY1A-201"	"1"	"AV_HG00673"	"0-3-7-4-6-8-5-2-7-4-2-5-2-1"	"0.0-3.0-7.0-4.0-6.0-8.0-5.0-2.0-7.0-4.0-2.1-5.1-2.0-1.0"	99	"AV_HG00673#haplotype2#0001165:24014011-24421797"	199649	208440
"ENST00000370083.9"	1785	2	1784	"-"	"AV_HG00673#haplotype2#0001165:24014011-24421797"	407786	231299	240090	1769	8791	0	"S"	557	1686	NA	1e-04	0	"AV_HG00673#haplotype2#0001165:24014011-24421797"	"AMY1A-201"	"1"	"AV_HG00673"	"0-3-7-4-6-8-5-2-7-4-2-5-2-1"	"0.0-3.0-7.0-4.0-6.0-8.0-5.0-2.0-7.0-4.0-2.1-5.1-2.0-1.0"	99	"AV_HG00673#haplotype2#0001165:24014011-24421797"	231299	240090
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG00673#haplotype2#0001165:24014011-24421797"	407786	293755	302546	1769	8791	0	"S"	557	1686	NA	1e-04	0	"AV_HG00673#haplotype2#0001165:24014011-24421797"	"AMY1A-201"	"1"	"AV_HG00673"	"0-3-7-4-6-8-5-2-7-4-2-5-2-1"	"0.0-3.0-7.0-4.0-6.0-8.0-5.0-2.0-7.0-4.0-2.1-5.1-2.0-1.0"	99	"AV_HG00673#haplotype2#0001165:24014011-24421797"	293755	302546
"ENST00000414303.7"	1584	4	1579	"+"	"AV_HG00673#haplotype2#0001165:24014011-24421797"	407786	161400	169666	1563	8266	28	"P"	484	1488	1342	0.001	0	"AV_HG00673#haplotype2#0001165:24014011-24421797"	"AMY2A-201"	"2A"	"AV_HG00673"	"0-3-7-4-6-8-5-2-7-4-2-5-2-1"	"0.0-3.0-7.0-4.0-6.0-8.0-5.0-2.0-7.0-4.0-2.1-5.1-2.0-1.0"	99	"AV_HG00673#haplotype2#0001165:24014011-24421797"	161400	169666
"ENST00000610648.1"	1736	4	1733	"+"	"AV_HG00673#haplotype2#0001165:24014011-24421797"	407786	115083	123505	1720	8422	48	"P"	531	1638	1371	1e-04	0	"AV_HG00673#haplotype2#0001165:24014011-24421797"	"AMY2B-208"	"2B"	"AV_HG00673"	"0-3-7-4-6-8-5-2-7-4-2-5-2-1"	"0.0-3.0-7.0-4.0-6.0-8.0-5.0-2.0-7.0-4.0-2.1-5.1-2.0-1.0"	99	"AV_HG00673#haplotype2#0001165:24014011-24421797"	115083	123505
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01106#haplotype1#0000048:16666181-17262214"	596033	481973	490765	1769	8792	0	"P"	557	1686	1686	1e-04	0	"AV_HG01106#haplotype1#0000048:16666181-17262214"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype1#0000048:16666181-17262214"	481973	490765
