contig	sample_id	bstart	bend	bID	bdunno	bOrientation	entryix	exitix	seg_len	rel_end	rel_start	hap_struc	hap_struc_d	hap_block_start	rel_start2	rel_end2
AV_HG00673#haplotype1#0000019:16627360-17129375	AV_HG00673	100	115475	0	671	0	0	670	115375	115375	0	0-3-7-4-8-5-6-2-4-7-2-5-6-2-4-7-2-5-6-2-1	0.0-3.0-7.0-4.0-8.0-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-1.0	100	0	115375
AV_HG00673#haplotype1#0000019:16627360-17129375	AV_HG00673	115566	138404	3	132	0	0	131	22838	138213	115375	0-3-7-4-8-5-6-2-4-7-2-5-6-2-4-7-2-5-6-2-1	0.0-3.0-7.0-4.0-8.0-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-1.0	100	115466	138304
AV_HG00673#haplotype1#0000019:16627360-17129375	AV_HG00673	139163	142459	7	17	0	0	16	3296	141509	138213	0-3-7-4-8-5-6-2-4-7-2-5-6-2-4-7-2-5-6-2-1	0.0-3.0-7.0-4.0-8.0-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-1.0	100	139063	142359
AV_HG00673#haplotype1#0000019:16627360-17129375	AV_HG00673	142907	161460	4	96	0	0	95	18553	160062	141509	0-3-7-4-8-5-6-2-4-7-2-5-6-2-4-7-2-5-6-2-1	0.0-3.0-7.0-4.0-8.0-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-1.0	100	142807	161360
AV_HG00673#haplotype1#0000019:16627360-17129375	AV_HG00673	161404	163174	8	8	0	0	7	1770	161832	160062	0-3-7-4-8-5-6-2-4-7-2-5-6-2-4-7-2-5-6-2-1	0.0-3.0-7.0-4.0-8.0-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-1.0	100	161304	163074
AV_HG00673#haplotype1#0000019:16627360-17129375	AV_HG00673	163118	176222	5	78	0	0	77	13104	174936	161832	0-3-7-4-8-5-6-2-4-7-2-5-6-2-4-7-2-5-6-2-1	0.0-3.0-7.0-4.0-8.0-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-1.0	100	163018	176122
AV_HG00673#haplotype1#0000019:16627360-17129375	AV_HG00673	176166	178910	6	24	0	0	21	2744	177680	174936	0-3-7-4-8-5-6-2-4-7-2-5-6-2-4-7-2-5-6-2-1	0.0-3.0-7.0-4.0-8.0-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-1.0	100	176066	178810
AV_HG00673#haplotype1#0000019:16627360-17129375	AV_HG00673	179268	210104	2	172	0	0	170	30836	208516	177680	0-3-7-4-8-5-6-2-4-7-2-5-6-2-4-7-2-5-6-2-1	0.0-3.0-7.0-4.0-8.0-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-1.0	100	179168	210004
AV_HG00673#haplotype1#0000019:16627360-17129375	AV_HG00673	212355	223900	4	96	1	58	4	11545	220061	208516	0-3-7-4-8-5-6-2-4-7-2-5-6-2-4-7-2-5-6-2-1	0.0-3.0-7.0-4.0-8.0-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-1.0	100	212255	223800
AV_HG00673#haplotype1#0000019:16627360-17129375	AV_HG00673	224967	228262	7	17	1	16	0	3295	223356	220061	0-3-7-4-8-5-6-2-4-7-2-5-6-2-4-7-2-5-6-2-1	0.0-3.0-7.0-4.0-8.0-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-4.1-7.1-2.1-5.0-6.0-2.0-1.0	100	224867	228162
