"qname"	"qlen"	"qstart"	"qend"	"strand"	"tname"	"tlen"	"tstart"	"tend"	"nmatch"	"alen"	"mapq"	"tp"	"cm"	"s1"	"s2"	"dv"	"rl"	"contig"	"name2"	"name"	"hap_struc"	"hap_struc_d"	"hap_block_start"	"chrom"	"start"	"end"
"ENST00000370083.9"	1785	2	1784	"-"	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	406901	231373	240166	1769	8793	0	"P"	557	1686	1686	1e-04	0	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	"AMY1A-201"	"1"	"1-2-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	16776960	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	231373	240166
"ENST00000370083.9"	1785	2	1784	"+"	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	406901	199718	208510	1769	8792	0	"S"	557	1686	NA	1e-04	0	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	"AMY1A-201"	"1"	"1-2-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	16776960	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	199718	208510
"ENST00000370083.9"	1785	2	1784	"+"	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	406901	293848	302639	1769	8791	0	"S"	557	1686	NA	1e-04	0	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	"AMY1A-201"	"1"	"1-2-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	16776960	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	293848	302639
"ENST00000414303.7"	1584	4	1583	"+"	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	406901	161424	169729	1563	8305	28	"P"	488	1488	1342	5e-04	0	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	"AMY2A-201"	"2A"	"1-2-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	16776960	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	161424	169729
"ENST00000610648.1"	1736	4	1733	"+"	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	406901	115091	123513	1720	8422	48	"P"	531	1638	1371	1e-04	0	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	"AMY2B-208"	"2B"	"1-2-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	16776960	"HG002#1#JAHKSE010000012.1_16776806_17183707_1"	115091	123513
"ENST00000370083.9"	1785	2	1784	"-"	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	407857	231292	240085	1769	8793	0	"P"	557	1686	1686	2e-04	0	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	102757591	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	231292	240085
"ENST00000370083.9"	1785	2	1784	"+"	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	407857	293763	302554	1769	8791	0	"S"	558	1686	NA	1e-04	0	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	102757591	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	293763	302554
"ENST00000370083.9"	1785	2	1784	"+"	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	407857	199626	208419	1769	8793	0	"S"	557	1686	NA	2e-04	0	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	102757591	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	199626	208419
"ENST00000414303.7"	1584	4	1583	"+"	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	407857	161376	169646	1574	8270	30	"P"	491	1499	1342	3e-04	0	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	"AMY2A-201"	"2A"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	102757591	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	161376	169646
"ENST00000610648.1"	1736	4	1733	"+"	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	407857	115050	123472	1720	8422	48	"P"	531	1638	1371	3e-04	0	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	"AMY2B-208"	"2B"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	102757591	"HG002#2#JAHKSD010000021.1_102757493_103165350_0"	115050	123472
"ENST00000370083.9"	1785	2	1784	"-"	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	479304	303685	312476	1769	8791	0	"P"	557	1686	1686	1e-04	0	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	"AMY1A-201"	"1"	"1-2-5-2-4-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	33474965	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	303685	312476
"ENST00000370083.9"	1785	2	1784	"+"	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	479304	366163	374956	1769	8793	0	"S"	557	1686	NA	1e-04	0	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	"AMY1A-201"	"1"	"1-2-5-2-4-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	33474965	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	366163	374956
"ENST00000370083.9"	1785	2	1784	"-"	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	479304	231273	240064	1769	8791	0	"S"	557	1686	NA	1e-04	0	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	"AMY1A-201"	"1"	"1-2-5-2-4-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	33474965	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	231273	240064
"ENST00000370083.9"	1785	2	1784	"+"	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	479304	199618	208411	1769	8793	0	"S"	557	1686	NA	1e-04	0	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	"AMY1A-201"	"1"	"1-2-5-2-4-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	33474965	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	199618	208411
"ENST00000414303.7"	1584	4	1583	"-"	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	479304	270047	278317	1574	8270	0	"P"	491	1499	1499	1e-04	0	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	"AMY2A-201"	"2A"	"1-2-5-2-4-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	33474965	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	270047	278317
"ENST00000414303.7"	1584	4	1583	"+"	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	479304	161365	169635	1574	8270	0	"S"	491	1499	NA	1e-04	0	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	"AMY2A-201"	"2A"	"1-2-5-2-4-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	33474965	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	161365	169635
"ENST00000610648.1"	1736	4	1733	"+"	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	479304	115030	123452	1720	8422	40	"P"	531	1638	1414	1e-04	0	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	"AMY2B-208"	"2B"	"1-2-5-2-4-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.1-5.1-2.1-4.1-2.0-5.0-4.0-3.0-0.0"	33474965	"HG00438#1#JAHBCB010000015.1_33474867_33954171_0"	115030	123452
"ENST00000370083.9"	1785	2	1784	"+"	"HG00438#2#JAHBCA010000012.1_51513023_51826723_0"	313700	199617	208409	1769	8792	49	"P"	557	1686	1404	1e-04	0	"HG00438#2#JAHBCA010000012.1_51513023_51826723_0"	"AMY1A-201"	"1"	"1-2-5-4-3-0"	"1.0-2.0-5.0-4.0-3.0-0.0"	51513122	"HG00438#2#JAHBCA010000012.1_51513023_51826723_0"	199617	208409
"ENST00000414303.7"	1584	4	1583	"+"	"HG00438#2#JAHBCA010000012.1_51513023_51826723_0"	313700	161354	169624	1574	8270	30	"P"	491	1499	1342	1e-04	0	"HG00438#2#JAHBCA010000012.1_51513023_51826723_0"	"AMY2A-201"	"2A"	"1-2-5-4-3-0"	"1.0-2.0-5.0-4.0-3.0-0.0"	51513122	"HG00438#2#JAHBCA010000012.1_51513023_51826723_0"	161354	169624
"ENST00000610648.1"	1736	4	1733	"+"	"HG00438#2#JAHBCA010000012.1_51513023_51826723_0"	313700	115025	123449	1720	8424	50	"P"	531	1638	1358	1e-04	0	"HG00438#2#JAHBCA010000012.1_51513023_51826723_0"	"AMY2B-208"	"2B"	"1-2-5-4-3-0"	"1.0-2.0-5.0-4.0-3.0-0.0"	51513122	"HG00438#2#JAHBCA010000012.1_51513023_51826723_0"	115025	123449
"ENST00000370083.9"	1785	2	1784	"-"	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	406848	231268	240060	1769	8792	0	"P"	557	1686	1686	1e-04	0	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	"AMY1A-201"	"1"	"1-2-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.0-2.0-5.0-4.0-3.0-0.0"	51519317	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	231268	240060
